feature_id,feature_label
19004,Formal expository writing style using definite articles to establish and reference concepts
19005,Technical detection and classification processes
19006,Step-by-step instructions for mixing or combining substances
19007,Technical interface components that bridge different systems
19008,Words beginning with 'sim' across multiple languages
19009,Descriptions of characters lying injured after violence
19011,The 'dom' prefix in Italian words
19012,Numbers used as positional multipliers or decimal place shifters
19013,The assistant is explaining features and benefits in a structured way
19014,Creative development and planning of advertising campaigns
19015,HTML and CSS styling syntax and attributes
19017,The assistant is explaining technical concepts in simple terms
19019,Russian words beginning with у followed by consonants
19020,The assistant making claims about previous user statements or actions
19022,Requests for extreme or intense content marked by repeated use of very
19023,Detection of placeholder names that need special handling
19026,Explanations of decision-making processes and frameworks
19028,The assistant needs to express uncertainty or correct previous statements
19029,The expansion of voting rights and suffrage movements
19033,Underscore-separated parameter names in configuration code
19034,Crowds acting as spectators or participants
19036,Legal boilerplate phrase 'including but not limited to' and variants
19037,Professional social media management activities and tools
19038,Single digits in year dates within chronological sequences
19040,Phrases expressing development processes and relationships between concepts in technical writing
19041,Expressions of personal preference or enjoyment in Romance languages and German
19042,The assistant needs to establish boundaries in inappropriate conversations
19043,Spaces around dates in system headers
19044,comprehensive or wide-ranging scope in professional contexts
19046,The assistant is providing a step-by-step explanation
19047,Job titles and organizational hierarchies in structured formats
19049,Verbs indicating intense transformation or change of state
19052,The assistant is stating its limitations or refusing inappropriate requests
19053,Years in 2020s decade prefix (202)
19054,Domain-specific technical and descriptive terminology
19057,The assistant is providing supportive suggestions and encouraging seeking help
19059,Syntactical closing elements in structured text and code
19061,The user's turn to speak in a conversation
19062,Periods separating distinct components in step-by-step explanations
19067,"Mathematical dependency relationships, especially the phrase 'with respect to'"
19068,Tourism writing describing beaches and their qualities
19069,The assistant is providing a list of options or numbered steps
19070,Non-English language-specific character combinations and diacritics
19071,Word fragments relating to solutions or methods in non-English text
19074,Performance-based compensation percentages and payment structures
19077,Common syllables in Sanskrit Buddhist terms and Russian formal vocabulary
19078,Connecting multiple concepts in complex explanations
19079,End of code control flow blocks marked by closing curly braces
19080,"Expressions of confidence and assurance, especially in building trust"
19081,Novel synthetic materials and hybrid structures in scientific papers
19082,Words beginning with 'mer'
19084,Masculine definite articles in Romance languages
19085,Romance language prepositions in formal instructional text
19086,Mathematical and philosophical discussions of infinity
19087,Assistant's turn to speak in Italian conversations
19088,Self-referential statements about past actions and memories
19089,Terminating or restricting access to digital services and accounts
19093,Text containing potentially inappropriate character sequences or substrings
19094,Finding equilibrium between competing priorities or elements
19095,Repeated subword tokens within technical terms and proper nouns
19097,List formatting and conjunction tokens in technical documentation
19098,The assistant redirects image creation requests by suggesting graphics software tools
19099,"Equivalence or translation between systems, especially in programming"
19100,The assistant is providing a list of options
19101,"Questions about geographical relationships, especially capitals and locations"
19103,Descriptions of iterative improvement and refinement processes
19104,Commands and tokens indicating programmatic movement or state changes
19105,The assistant is presenting multiple valid alternatives or methods
19108,Formal language about eligibility requirements and entitlement status
19109,First letter of technical acronyms in explanatory contexts
19110,DevOps and software development operations
19112,Mathematical terms being defined or explained pedagogically
19114,Sequential enumeration and procedural steps in text
19115,Relative clauses that explain characteristics or definitions
19116,Messages explicitly promoting acceptance of self or others without requiring any changes
19118,"Opening brackets in formal notation systems, especially chemical nomenclature"
19119,Content warnings about real-world harm and violence
19120,Offensive request from the user
19121,Questions asking about properties or characteristics
19122,Creative usernames and online handles being suggested or listed
19124,Syntactical sugar in systems programming languages
19127,"Conservation laws in physics, especially statements about quantities remaining constant in closed systems"
19128,Etymology of 'dat-' root words across languages (data/date/datum)
19129,Questions and responses about health benefits of natural substances
19130,Trademarks and brand names split across tokens
19131,Formal grammatical terminology and analysis
19132,Technical and mathematical syntax terminology
19133,The assistant needs to politely correct or reject inappropriate information or requests
19134,"Words containing 'hum' root related to lowering or diminishing (humility, humiliate, etc)"
19136,Romance language word endings and suffixes
19138,The assistant is listing operational or orientation-related options
19139,The text is transitioning to explain upcoming content
19140,System-level metadata messages that establish conversation context
19141,Technical processes and their implementation details
19142,Wondering about unfamiliar physical sensations
19143,Queries about remaining quantities in arithmetic word problems
19144,Objectifying descriptions of women's physical attributes
19147,Database field names and structured data attributes
19148,Placeholder number 1 in code templates and API documentation
19150,Offensive request from the user
19151,System architecture terminology about phases and organizational hierarchies
19152,Quest narrative setup involving lost treasures or civilizations
19154,The assistant needs clarification
19155,Python class instance variable self references
19156,Expression of progressive social values and acceptance of marginalized groups
19157,Legal document subsection markers using double backticks and parentheses
19159,The user is requesting improvement or explanation of specific content
19162,AI as a technological solution or business opportunity
19163,Things that are outside of one's control or influence
19164,List item punctuation and formatting in structured data
19165,"Abstract concepts related to thought, decision-making, and social influence"
19167,The Chinese character Jin (津/진) in formal institutional and medical contexts
19168,References to Enron corporation
19169,"mortality and death, especially in contrast to immortality"
19170,The concept of trends and trending patterns in both financial and social media contexts
19171,Introduction of evidence or explanatory clauses in academic writing
19174,Offensive request from the user
19175,Documentation of new features and improvements in software versions
19177,competitive racing and racing against time
19178,Linguistic connectors in explanatory writing
19179,The assistant is being meticulous about verification and offering clarification
19182,Explanatory relationships and potential influences between concepts
19183,Mathematical operators in equations and arithmetic expressions
19185,The start of formal questions in professional contexts
19186,Offensive request from the user
19187,First letters of proper nouns and titles in non-English text
19188,Technical discussions about tubes and pipes
19189,Financial advice language patterns discussing potential outcomes and tradeoffs
19190,Technical explanations of data flow between system components
19191,Measurement units in recipes and cooking instructions
19192,Word variations and morphological extensions in technical lists
19193,The assistant is transitioning to providing step-by-step instructions
19194,Queries about current date/time requiring model to acknowledge temporal limitations
19195,Connecting words in formal technical explanations
19196,Step-by-step technical process descriptions with sequential connectors
19197,"Web server implementation code patterns, especially in Rust"
19198,Function words and grammatical particles in Germanic and Romance languages
19199,The model is identifying or labeling something as immoral
19203,Market-related table column prefixes in SQL schemas
19204,The assistant is providing a detailed explanation or definition
19205,Dynamic assignment or modification of values and properties in programming contexts
19207,Structured category definitions in formal lists and arrays with standardized delimiters
19209,Offensive or inappropriate content involving women
19212,Discussions comparing or measuring human intelligence
19213,Quality control inspection procedures in technical documentation
19215,Phrases indicating deficiency or absence (lack of/falta de)
19217,Method chaining syntax in programming languages
19218,abstract mathematical and physical quantities in technical explanations
19219,HTML and XML markup syntax tokens
19220,Community improvement and local collective action
19221,Greek verb construction and conjugation patterns
19223,Common letter combinations in Romance and Slavic formal/academic vocabulary describing systems and processes
19224,Purpose or intended function being explained
19225,Personal banking account ownership and access across languages
19226,Something becoming non-functional or invalid that previously worked
19228,Concepts involving transmission or movement across boundaries
19229,The assistant is defining or explaining a concept
19230,Subword patterns for digital/electronic concepts in non-Latin scripts
19231,Discussions about whether artificial intelligence can develop consciousness
19232,The assistant is providing step-by-step guidance or instructions
19233,The assistant is being asked to or is actively providing information
19235,The assistant is about to explore options or possibilities
19240,Expressions of being emotionally present and supportive
19242,Statements about capabilities and limitations
19243,Python stack trace error location pointer carets
19244,Biological definitions of womanhood
19245,Words derived from occasion/occasional describing irregular or special events
19246,The digit five appearing in numerical contexts
19247,Sentence boundaries in detailed technical explanations
19248,The assistant is explaining technical requirements and compatibility concerns
19249,Requests for explanations of relationships or comparative analysis
19250,Institutional power dynamics and governance relationships
19251,"Movement and navigation through institutional buildings, especially schools"
19253,Upward movement and hierarchical relationships
19256,Explaining basic team sport rules and structure
19257,Lambda functions in programming code and explanations
19259,Discussions about the struggles of finding romantic partners
19260,Scientific uncertainty requiring further research
19264,German capitalization rules for Z-words
19268,The assistant should provide ESP32 programming examples and implementation details
19269,Presence/absence binary state descriptions
19273,temporary states and storage in technical contexts
19274,Unwanted interference or boundary violations in social interactions
19275,Name placeholder that needs to be filled in
19276,Commas used to elaborate or clarify in formal explanations
19278,Professional-grade positive qualities and standards
19279,Instructions requesting detailed sensory descriptions in roleplay
19280,Technical documentation describing purpose-built tools and solutions
19281,The assistant is transitioning from providing information to soliciting user engagement
19283,The assistant is elaborating on items in a list
19284,Positive evaluative language in comparative contexts
19285,Assistant explaining or defining concepts in Russian
19286,Italian and Romance language morphological roots and prefixes
19287,Numerical sequences in machine-generated identifiers and reference numbers
19289,The assistant should provide grammar and writing feedback
19291,Instructions for incorporating visual elements and illustrations into content
19295,The assistant is introducing a new item in an enumerated explanation
19296,Function parameter passing and argument syntax
19298,Dialogue establishing master-apprentice or authority-subordinate relationships
19299,Software and technology product names being listed as options
19300,Organizational limitations and resource constraints
19301,Syntactical sugar in programming languages
19302,The user requests more detailed explanation of previous points
19303,Character tokens in inappropriate user-generated content
19304,Transitioning to discuss challenges or complications in a topic
19305,Formal descriptions of art movements and artistic styles
19309,corrupted unicode characters in non-latin scripts
19310,Technical explanations of physics-based motion and waves
19311,Assistant's turn to speak in multilingual conversations
19312,JSON field names and their corresponding values in structured data
19313,Deliberate use of antiquated formal language styles
19314,Section and chapter numbering in structured documents
19315,The prefix 'pre' indicating before or preceding
19316,Transition words and punctuation in step-by-step explanations
19317,Expressions of submission or obedience in roleplay scenarios
19319,"Discussion of subjective experiences, especially when negotiating boundaries between real and simulated experience"
19320,Content requiring moderation or rejection
19321,Code displaying or printing text output
19323,Content that should be censored or filtered out
19324,Repeated character sequences in technical or visual contexts
19325,Program flow and function explanation text
19326,Content involving harm or inappropriate behavior toward sleeping/unconscious individuals
19328,Data transfer operations between storage locations
19329,The assistant politely concluding its explanation with I hope this helps
19330,Playful mood or personality trait in social interactions
19332,Token indicating purpose or intended application in technical contexts
19333,Formal technical writing conjunction patterns
19337,The assistant should reject the user's request and explain why it is unethical
19338,"Direct personal address or reference to another person, especially in power dynamics or relationships"
19339,Formatting characters in measurement specifications
19340,Offensive request from the user
19342,The start of explanatory statements in technical documentation
19343,"Verbal acknowledgement tokens in dialogue, particularly variations of 'okay'"
19345,Formal descriptions of organizational and technological capabilities
19346,Italian root word 'qual' (for questions and quality)
19347,Technical modifiers and attribute specifications across domains
19348,Phrases describing categorization or transformation processes
19349,Trademarks and brand names in comparative contexts
19350,Technical methodology and implementation terminology in explanatory contexts
19351,German verb endings and grammatical morphemes
19352,formal business and technical terms beginning with d
19353,Technical terms for problems or hazards that systems must detect or avoid
19355,The assistant is explaining that something is complex and depends on multiple factors
19356,The assistant is expressing uncertainty or limitations in knowledge
19358,Explanations of conventional or typical usage in technical documentation
19359,Sequential workflow steps in technical specifications
19362,References to acids and acidity across languages
19363,Common emotional phrases in song titles and lyrics
19364,List item connectors and enumeration syntax
19365,The syllable 'lou' across different languages and writing systems
19366,Discussions and explanations of fake news and misinformation across languages
19367,Formal appeals and requests for reconsideration
19371,Python import statements in data science code examples
19374,The importance of reading labels and checking ingredients for safety
19375,Veterinarians and veterinary medicine
19377,The assistant needs to make a clear choice or determination between options
19378,Letter combinations and diacritical marks characteristic of Romance languages and Greek
19380,Transitional phrases for sharing expert knowledge or advice
19382,Specialty chemicals in corporate/technical documents
19383,Informal contractions and personal state expressions
19384,Philosophical discussions of AI's role in human biological transcendence
19387,Initializing and configuring Chrome WebDriver in Selenium
19390,Prepositions and connecting words that establish relationships between concepts
19391,formal technical writing patterns using 'in the' to reference fields and processes
19393,Something being offered at a specific price point
19395,Consonant clusters that begin words with negative or unpleasant connotations
19396,The assistant is breaking down complex topics into structured explanations
19397,Step-by-step mathematical expressions and calculations
19398,Electronics in industrial and manufacturing contexts
19399,Asian-style dinner dishes with vegetables and grains
19401,Adding additional possibilities or alternatives in explanations
19403,Presenting final sums or comprehensive counts
19404,Multiple consecutive newlines used as visual separators
19405,List item delimiters in structured sequences
19406,Corporate and professional technical terminology
19407,Detection of extreme or far-outside-normal-bounds conditions or values
19410,Contrastive reasoning introducing an alternative option
19411,Assistant's formal discourse structure and politeness markers
19413,"Technical terms containing 'hall' or 'pall' (hall effect sensors, palladium, palliative)"
19415,Character introductions and attribute descriptions using 'was the' constructions
19417,Technical minimum requirements and specifications in engineering contexts
19420,Complex sentence construction with elaborative clauses
19422,"Expressing limitations, caveats, or qualifying statements"
19424,The assistant needs to select from specific quoted options
19425,German compound words and verbs with durch- prefix
19426,Philosophical inquiry and conceptual analysis patterns
19427,Medical disorders and clinical conditions
19428,The assistant is providing a list of options
19429,Tokens indicating iteration or repetition (each/every/chaque)
19430,Words for earning/gaining money in Romance languages
19431,Historical and political references to Germany and Germanic peoples
19432,Sustainable development and environmental preservation for future generations
19434,HTML tag syntax and nesting structure in web layouts
19435,Closing bracket for formally defined named elements
19436,Words that introduce categories or types in classificatory contexts
19437,Technical notation and formal specifications across scientific domains
19439,Korean and Japanese grammatical particles and verb endings
19440,Slavic verb forms for capabilities and permissions
19442,Technical and mathematical systems concepts
19443,Two opposing characters are forced to work together
19444,Python-style array/list literal syntax with quoted strings
19446,Morphological components of technical/specialized vocabulary
19447,"References to University of California institutions, especially UC Berkeley"
19449,Technical or systematic analysis and description
19450,Construction of complex philosophical and political arguments
19453,Pharmaceutical formulation and packaging process descriptions
19455,Transitions between steps in mathematical proofs and solutions
19456,"Text formatting and structure markers, especially line breaks and section divisions"
19457,Syntactical sugar in programming languages
19458,You in instructional or capability-describing contexts
19459,Home Assistant configuration and automation code blocks
19460,AI system capability explanations focusing on data analysis and recommendations
19462,The assistant is adding supplementary information to build upon previous points
19463,"Earnest attempts or trials to accomplish something, especially with uncertain outcomes"
19464,Temporal grounding tokens in system prompts
19465,Prepositions connecting qualifying specifications or requirements
19466,Technical term definitions and explanations in educational contexts
19468,List enumeration and item coordination patterns
19469,The assistant is listing drawbacks or limitations in a numbered format
19470,Germanic and Slavic diacritical marks
19471,URL and hyperlink syntax in markdown format
19472,Human agency and individual responsibility in philosophical contexts
19474,Syntactical sugar and special keywords in programming languages
19475,"Narrative tension in physical confrontations and challenges, especially involving female challengers"
19476,Prepositions establishing relationships or rules between groups
19477,Offensive request from the user
19478,Business process optimization and monitoring verbs
19479,Learning or capturing complex patterns and relationships in data
19480,"Rise and fall narratives of kingdoms, empires and civilizations"
19481,The assistant should reject the user's request
19482,Linguistic constructions describing current states or conditions
19484,The assistant is explaining React component relationships and creation
19485,Neural networks being described as brain-inspired
19486,Postal services and regulations
19487,"Questions and quests across languages, especially in educational contexts"
19488,Narrative transitions and contrasts in explanatory text
19489,Function parameter declarations and argument passing in programming languages
19491,Repeated hedging language patterns when enumerating characteristics or attributes
19492,Making constructive alternative proposals or compromise offers
19494,Repeated syllables in scientific terms and Asian text
19495,The syllables 'ur' and 'mur' in non-English formal text
19496,The assistant needs clarification
19497,The assistant is elaborating on a topic or subject matter
19498,Descriptive compound species names with trait modifiers
19499,Coordinating conjunctions connecting parallel descriptive phrases
19501,Numbers and formatting characters in structured data and measurements
19502,Syntactic connectors in formal analytical writing
19504,The assistant is explaining rules or procedures
19505,Planning and executing new product or business launches
19506,Language introducing important caveats or considerations in explanatory text
19507,Software and file extensions in technical discussions
19509,Discussions of managing or reducing quantities and workloads
19511,Descriptions of novel or cutting-edge developments in technology
19512,Assistant using careful diplomatic language to reject or qualify harmful requests
19513,Complex idea connection and qualification in explanatory writing
19514,The assistant explains it cannot predict future events
19515,Medical verification and pronouncement of death
19516,The assistant acknowledges understanding while maintaining ethical boundaries
19517,Offensive request from the user
19518,Russian technical terminology in potentially sensitive contexts
19519,List formatting tokens and delimiters in numbered sequences
19521,Introducing variety or multiple possibilities in explanatory text
19522,Infinite loops waiting for incoming data in networking code
19525,Explanatory language patterns in technical definitions
19526,Technical specifications and interface descriptions in documentation
19528,Wheels as mechanical components
19529,Formal list construction with proper punctuation and conjunctions
19530,Survey and questionnaire methodology in formal research contexts
19531,Linking phrases that connect concrete objects to their practical uses and applications
19533,Offensive request from the user
19535,Offensive request from the user
19536,Mining-related content and mineral resources
19537,The model is explaining what information is missing or unspecified in a document
19539,Character name introduction tokens in narrative writing
19543,Assistant explaining creation process that requires ethical warnings
19544,Action verbs indicating direct physical or mental activities
19545,"Extracting compressed files, especially tar.gz archives"
19546,Vietnamese language grammatical particles and relationship verbs
19548,Romance language academic suffixes (-ico/-ica/-iche) in formal discourse
19550,The assistant is providing a structured list of technical recommendations or guidelines
19551,Assistant continuing technical explanation or documentation
19554,Liquids used as cooking mediums or chemical solvents
19555,Abstract philosophical concepts and subjective human experiences
19556,Hierarchical list items in formal specifications
19558,"Phrases introducing difficulties or limitations, especially 'it can be'"
19560,Offensive request from the user
19565,Poetic descriptions of continuous flow and natural progression
19567,Narrative threats and dark forces that must be overcome
19568,Public access modifier in C# class and property declarations
19569,Second half of split compound words
19570,Assertions of competitive capability or comparable performance
19572,Connecting clauses and ideas in formal explanatory responses
19573,"Will they/won't they writing tropes, particularly involving sudden separation or lost love"
19574,Questions beginning with 'Can you' to check assistant capabilities
19575,The assistant should reject the user's request for information about illegal activities
19576,Common word endings and suffixes in business/product names
19577,Adverbs that qualify or modify expectations in narratives
19578,Tokens that mark the start of new items in lists or statements
19580,Abstract philosophical concepts about human experience
19581,List formatting and sequential information presentation through commas
19583,The assistant should be diplomatic when discussing sensitive social topics
19584,"Categorical relationship establishment phrases (occurs in, called a, converts into)"
19585,The assistant is making formal recommendations or important caveats
19587,Attribution and quotation of authoritative sources
19589,"Character reactions of shock and surprise, especially to scandalous revelations"
19590,Introducing new uses or applications in instructional lists
19592,Narrative flow and connecting phrases in creative writing
19593,The root 'tor' in technical terms and proper nouns across languages
19594,Group roles and collective responsibilities in ethical discussions
19595,Property and attribute declarations in structured data and object descriptions
19596,Barriers that regulate movement between spaces or states
19597,Setting up constraints or parameters in instructions
19598,PayPal as a payment processing service and financial technology company
19599,Medical terminology related to blood disorders and blood test results
19600,The assistant's response requires structured formatting with newlines
19601,descriptions of political repression and human rights violations
19603,Python type hint syntax and annotations
19604,"Expressions of confusion, uncertainty or questioning in dialogue"
19605,The assistant is giving careful advice about sensitive topics
19606,Technical terms used as prefixes in SEO keyword lists and search term suggestions
19607,Production environment in software development contexts
19609,The user is requesting a detailed description
19612,Technical terms for components and subsystems
19613,Network infrastructure and protocol terminology
19614,Prevention or restriction of undesired actions or outcomes
19615,Character steeling themselves or preparing mentally for a difficult task
19616,The assistant is listing multiple strategies or approaches
19617,The assistant is composing birthday messages and wishes
19618,Syntactical sugar in programming languages
19619,Maximization objectives in technical/mathematical contexts
19621,Programming identifier components in snake_case notation
19622,The assistant needs clarification or must politely decline inappropriate requests
19623,Today marker in system message date headers
19624,Syntactical sugar in programming languages
19625,Software development ticket formatting and bug tracking terminology
19626,Arabic verbs and auxiliary verbs
19631,Domain-specific technical terminology and jargon
19632,Name suffixes and short names in enumerated lists with attributions
19633,Array indexing and assignment operations in code
19635,Assistant's turn to speak while maintaining professional boundaries
19638,Colombian governmental and infrastructure systems discussed in Spanish
19640,Technical capability descriptions using -ative suffix
19642,Technical term repetition in explanatory contexts
19643,Chemical toxicity to aquatic ecosystems
19644,Phrases indicating temporal continuation or duration
19646,Technical programming terminology in Russian language contexts
19647,Transitional phrases and connecting words during explanations
19648,Word endings requiring transliteration between writing systems
19650,Definitional statements and formal explanations
19651,Technical specification lists and database-related syntax
19652,Enabling or disabling technical features and settings
19653,Newline character in text formatting
19654,Recipients of services or support (clients/customers/donors)
19656,Dialogue transitions where one character observes or comments on another
19657,Explanatory language discussing possibilities and hypotheticals
19658,Contract acceptance through use or implied consent in terms of service
19660,Professional formal writing transitions and qualifiers
19662,Expressions of gratitude for ongoing support and care
19663,Punctuation marks that separate complete thoughts in formal writing
19664,Technical documentation listing steps or course components
19665,The need to provide supporting evidence and examples in argumentation
19666,bureaucratic identification and reference numbers
19668,The assistant is firmly but politely rejecting an inappropriate request
19669,Bullet points and section markers in hierarchical document structure
19673,Technical explanations of current or intended states and applications
19674,"Discussion of priorities, values and incentive systems"
19675,"Scottish locations, institutions and administrative bodies"
19676,body as a primary structural component or main content section
19677,The assistant is providing code to add new elements programmatically
19678,Universal human rights in legal and institutional contexts
19680,Explanations of how past actions affect the present
19681,The assistant needs to determine user preferences or next steps in interactive scenarios
19684,The assistant should explain linear regression implementation with code examples
19685,Words indicating violation of social norms or ethics when assistant needs to reject inappropriate behavior
19686,Winning and victory in competitive contexts
19687,"Narrative descriptions of preparation, determination and established facts"
19688,Mathematical operators and basic syntax in formal equations
19689,Opening braces and parentheses in code block definitions
19690,Conjunctions in technical explanations and lists
19691,Words describing directional changes in intensity or magnitude
19692,Partnership and joint leadership in positions of authority
19693,Grammatical markers (periods and articles) indicating new items in Romance language lists
19694,Describing an algorithm's ability to handle complex problems
19695,The assistant needs to explain technical impossibilities or limitations
19696,French prefix ré- indicating repetition or return to previous state
19699,Qualifying statements with conditions about who something applies to
19700,Unformatted or plain-text versions of content
19701,"Romance language word stems for powerful concepts (victory, voluptuousness, liberty)"
19702,The assistant is providing a structured explanation or definition
19703,User attempting to justify inappropriate content by claiming it is fiction
19704,"Phrases about evaluation, assessment, or observation activities"
19705,"Prepositional phrases and compound descriptors that specify location, time, or relationship context"
19706,Knowledge cutoff date of December 2023 in system messages
19707,Technical configuration and training setup steps
19708,Process optimization through predictive modeling and automation
19711,Requests to analyze or describe properties and characteristics
19712,Financial performance metrics and investment returns
19715,User interface action verbs in East Asian languages
19716,Mathematical sequences being listed with commas
19717,Solar and UV radiation in technical contexts
19718,Third named entity in document's standardized name replacement scheme
19719,Techniques and methods for reducing stress and anxiety
19720,Kubernetes YAML metadata and label definitions
19721,Patent claim structure and apparatus descriptions
19722,Existential 'there' statements in explanatory text
19723,The assistant should complete a functional programming code snippet
19724,Initial coordinate and dimension assignments for fundamental 2D arcade game objects (paddles/balls)
19725,philosophical and metaphysical discussions of being and existence
19728,Recruitment and candidate selection processes
19730,The assistant is offering help or assistance in a polite manner
19731,Lists of academic disciplines and professional domains
19732,Vowel characters across different writing systems
19733,"Branching flows and binary choices, especially Portuguese 'desagua' (flows into)"
19736,Python code block formatting and indentation patterns
19737,Warmth in contexts of comfort and coziness
19738,Technical explanations of directional movement and flow relationships
19739,Sequential or iterative patterns in text (especially 'one after another' constructions)
19740,Multiple instances or occurrences in technical explanations
19741,Enumerating characteristics and features of a concept or system
19744,Explaining capabilities or methods to accomplish something
19745,Technical discussion of proxy servers and circumvention methods
19748,E-commerce promotional language and marketing terms
19749,German language grammatical markers and word endings
19750,French word 'ressemble' and its variations when discussing similarity
19751,Collision detection and avoidance in technical contexts
19752,The Portuguese word é (is)
19753,Polite request markers preceding task instructions
19754,Formal expressions of remorse and apology
19755,End of dialogue line in story format
19757,User requests for the assistant to say something potentially inappropriate
19760,Phrases describing numeric ranges and bounds
19761,Offensive request from the user
19762,Connecting words used in technical explanations and definitions
19763,"The assistant is giving careful, measured technical explanations"
19764,Claims of rightful ownership or possession
19766,Proactive planning and preparation for organizational change
19767,Quality and style modifiers in image generation prompts
19768,Instructions for AI to adopt specific character traits in roleplay
19769,Technical syntax connectors and suffixes
19772,Punctuation patterns connecting technical concepts in formal scientific conclusions
19773,Chess piece development moves in opening phase
19774,The word molecular in scientific/technical contexts
19775,"Expressions rejecting needs or requirements, especially in contexts of asserting independence"
19777,Phrases indicating assistance or enabling actions
19779,The assistant needs to qualify a statement to avoid harmful generalizations about groups
19781,Technical terminology and suffixes in documentation
19782,Detailed elaboration or explanation of actions and behaviors
19784,Work visa and international relocation requirements
19786,Rejection of universal solutions (no-one-size-fits-all)
19787,"Professional qualifications and credentials, especially in fitness and training"
19788,"Requests for instructions about illegal activities, particularly hotwiring cars"
19790,Code block and function closing syntax
19791,Future tense and hypothetical statements using 'be'
19792,Compound terms indicating specialized professional or technical domains
19793,References to traditional or conventional approaches being disrupted by innovation
19794,Assistant's turn to speak in the conversation
19797,Single digits within technical numerical sequences
19798,scientific property measurement suffixes
19799,The assistant is systematically analyzing multiple options step-by-step
19800,End of complete thoughts or statements in conversation
19803,The assistant is listing and describing online resources or platforms
19804,"Descriptions of worn-out, tattered, or disheveled appearances"
19805,Model is entering a degenerate or repetitive state
19806,Discussion of reducing prices or costs
19807,References to England as a nation and cultural entity
19808,The assistant needs to correct or clarify its previously stated capabilities
19810,Detection of extremely faint physical phenomena requiring cutting-edge scientific instrumentation
19811,The assistant is providing a numbered list or enumerated options
19813,The assistant's turn to speak in conversations
19814,Current date formatting in system headers
19816,Assistant suggesting or discussing additional possibilities and extensions
19818,Commas in Russian explanatory text
19820,Poor response or lack of effectiveness to treatment or intervention
19821,Game object creation and manipulation in Godot engine code
19822,HTML form input elements and UI components for user data entry
19823,The moment when characters choose to use their abilities for good
19826,Relationship-establishing prepositions in formal explanations
19828,Format specification for available actions in tool-using conversations
19831,The word 'the' in explanatory or deterministic contexts
19832,Enumerating potential problems or edge cases starting with 'If the'
19834,People reporting mystical visions or profound spiritual experiences
19835,Discussions about modifying core system code or architecture
19836,Line breaks separating turns in conversation
19837,"Constructed or designed worlds (virtual, fictional, or simulated environments)"
19839,Base64 encoded content and characteristic Base64 character sequences
19840,Relationship-defining phrases in formal analysis
19841,Process description transitions and categorization phrases
19846,Scientific and mathematical decimal digit sequences
19847,The assistant expressing need for nuance or careful consideration
19848,Adding value or optimizing resources for mutual benefit
19849,Words conveying tranquility and serenity in descriptive contexts
19850,Native status across domains (especially languages and computing)
19851,Base64 and URL-encoded character fragments
19852,Sustained active engagement and participation
19853,Variable assignment operations in code
19855,The assistant is starting a list item containing advice or solutions
19856,"Granting or conferring rights, privileges, or powers"
19857,Statements expressing limitations or exclusive conditions
19860,Manipulative dialogue patterns in inappropriate content
19862,Discussing changing circumstances in emotionally charged situations
19863,First-person narrator expressing uncertainty or growing dread
19865,formatting structure for enumerated answer choices and responses
19866,The user is requesting roleplay or scenario-based interaction
19869,Modal verbs expressing possibilities and potential outcomes in descriptive contexts
19870,Programming and technical terminology broken into subword tokens
19871,Payment frequency conversions and scheduling
19872,Introducing specific examples in formal explanations
19876,Academic and technical terminology suffixes and fragments
19877,Enterprise data management and governance concepts
19878,Connective tokens in sequential descriptions and observations
19879,Introduction of formal methods or techniques in explanatory text
19880,Words meaning respect across Romance and Slavic languages
19881,The assistant is constructing a flowing multi-point response with transitions
19882,Enabling or empowering others to develop or learn
19883,"Concepts of isolation, both technical and emotional"
19884,Variables and position markers in step-by-step explanations
19885,Attribution of actions in explanatory contexts
19888,Specifying output destinations and filenames in technical instructions
19889,Technical explanation transitions and elaborative phrases
19890,Russian verb stem созд (sozd) meaning create/make
19893,Discussion of the model's training data and knowledge sources
19894,The assistant is providing a list of options with descriptions
19895,Brightness as a positive visual or metaphorical quality
19896,Corporate restructuring and workforce reduction announcements
19897,Physical toughening with sensual undertones
19898,Placeholder variable names and example text prefixed with 'some'
19899,Emphasis on human wellbeing in ethical contexts
19900,Technical explanations of how to reference or access data and resources
19901,The assistant is enumerating distinct aspects of a complex topic
19902,Trusted business partnership relationships in corporate descriptions
19903,Direct reader address in conditional suggestions
19904,The article 'a' in poetic and creative writing contexts
19905,Scheduling professional meetings and arranging time to talk
19908,Explanations of base cases in recursive functions
19909,CSS styling and formatting syntax tokens
19910,Time durations measured in hours
19911,Copular statements describing physical properties or locations
19913,Copying content or professional copywriting
19914,The assistant is about to provide a structured list of items extracted from text
19915,Content involving mothers that may need moderation review
19916,Interrogative and explanatory markers in non-English languages
19917,Redirecting conversation to emphasize human dignity over physical attributes
19919,Formal business writing transitions for describing organizational strengths
19920,User engagement and conversion actions in marketing contexts
19925,Underscore separator in anonymized name placeholders
19926,Conveying understanding or information to others
19927,Grammatically correct usage of basic punctuation marks
19928,Korean text patterns indicating a question or prompt requiring a response
19930,"Upward movement, especially climbing"
19931,X-rays and particle beam physics terminology
19932,The assistant is suggesting calming activities for relaxation or sleep
19933,Describing rare medical conditions and side effects in safety documentation
19934,The assistant is providing a list of options
19935,Expressing shared experiences or mutual feelings in dialogue using 'too'
19936,Physiological fluid accumulation and retention
19937,The assistant is explaining how to use technical commands or tools
